artists,title,date,accousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness
Al Green,Look What You Done for Me,1972-06-03,0.371,0.604,185823,0.568,3.18e-06,0.182,0.0447
Al Green,Sha-La-La (Make Me Happy),1974-12-21,0.0672,0.747,179840,0.395,0.0299,0.219,0.0321
Al Green,You Ought to Be with Me,1973-01-06,0.472,0.711,199067,0.44,0.000149,0.131,0.0332
Al Hirt,Java,1964-03-21,0.803,0.679,119133,0.721,0.893,0.088,0.0535
Al Martino,I Love You Because,1963-06-22,0.894,0.29,163400,0.2,0.000569,0.221,0.0275
Al Martino,I Love You More And More Every Day - Remastered,1964-03-21,0.492,0.476,135333,0.219,0.0,0.201,0.0296
Al Stewart,Time Passages,1978-12-16,0.357,0.694,403040,0.649,0.00258,0.0868,0.0281
Al Stewart,Year of the Cat,1977-03-12,0.016,0.54,400067,0.634,0.0098,0.118,0.0346
Al Wilson,Show and Tell - Rerecorded,1974-02-09,0.655,0.41,211787,0.427,1.33e-06,0.163,0.0281
Alan O'Day,Undercover Angel,1977-07-23,0.226,0.673,211227,0.662,0.0,0.121,0.04
Alanis Morissette,Ironic - 2015 Remaster,1996-06-29,0.218,0.408,230000,0.582,0.0,0.159,0.0508
Alanis Morissette,You Learn - 2015 Remaster,1996-09-28,0.00415,0.401,239640,0.706,0.0,0.0916,0.0404
Alannah Myles,Black Velvet,1990-04-14,0.273,0.754,287440,0.366,9.04e-05,0.106,0.0312
Albert Hammond,It Never Rains in Southern California,1973-01-06,0.124,0.626,233507,0.565,0.0,0.0811,0.0271
Alessia Cara,Here,2016-02-13,0.0785,0.376,199453,0.821,0.0,0.0823,0.104
Alessia Cara,Scars To Your Beautiful,2017-02-25,0.0285,0.573,230240,0.739,0.0,0.111,0.129
Alex Clare,Too Close,2012-11-24,0.0112,0.584,256560,0.712,1.05e-06,0.114,0.0395
Ali Gatie,I’ll Be There for You,1995-07-08,0.416,0.515,164886,0.423,0.0,0.117,0.0784
Alias,More Than Words Can Say,1990-12-01,0.609,0.412,234196,0.376,0.00223,0.11,0.0289
Alice Cooper,Poison,1989-12-02,0.0327,0.28,270080,0.908,8.85e-06,0.18,0.109
Alice Cooper,School's Out,1972-08-12,0.05,0.294,210107,0.745,0.125,0.676,0.0461
Alice Cooper,You and Me,1977-08-20,0.369,0.613,306573,0.317,0.000288,0.0775,0.0293
Alicia Bridges,I Love The Nightlife (Disco 'Round),1979-01-06,0.309,0.693,187973,0.708,0.00305,0.0857,0.031
Alicia Keys,"A Woman's Worth (Live from Movistar Arena Santiago, Chile)",2002-02-16,0.507,0.601,121683,0.708,8.51e-06,0.739,0.228
Alicia Keys,Fallin',2001-12-08,0.263,0.652,210200,0.609,0.00101,0.233,0.037
Alicia Keys,If I Ain't Got You,2004-09-11,0.603,0.609,228707,0.444,6.86e-06,0.104,0.106
Alicia Keys,No One,2008-03-15,0.0209,0.644,253813,0.549,8.85e-06,0.134,0.0285
Alicia Keys,You Don't Know My Name,2004-02-28,0.59,0.264,366733,0.663,0.00443,0.342,0.187
"Alicia Keys, Tony! Toni! Toné!, Jermaine Paul",Diary (feat. Tony! Toni! Tone! & Jermaine Paul),2004-10-23,0.555,0.663,284160,0.465,0.00183,0.125,0.0317
Alive 'N Kickin',"Tighter, Tighter",1970-08-22,0.0409,0.407,168853,0.826,0.00014,0.0486,0.053
All Saints,Never Ever,1998-09-12,0.559,0.738,387573,0.541,0.0,0.0492,0.0311
All-4-One,I Can Love You Like That,1995-10-14,0.0811,0.635,257960,0.712,0.0,0.322,0.0283
All-4-One,I Swear,1994-09-10,0.235,0.532,259853,0.407,0.0,0.117,0.0233
All-4-One,So Much in Love,1994-04-30,0.892,0.322,212640,0.25,0.0,0.12,0.03
"Allure, 112",All Cried Out (feat. 112) - Behind the scenes Video,1997-12-06,0.176,0.613,275773,0.464,0.0,0.103,0.0241
Aloe Blacc,The Man,2014-04-26,0.0331,0.308,254880,0.769,0.0,0.214,0.065
"Alvin & The Chipmunks, David Seville",The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,1959-01-19,0.707,0.612,141467,0.37,2.98e-06,0.23,0.0344
Ambrosia,Biggest Part of Me,1980-07-05,0.238,0.498,324040,0.723,0.0,0.353,0.05
Ambrosia,How Much I Feel,1978-12-09,0.305,0.667,283400,0.513,0.0,0.0851,0.026
America,Lonely People,1975-03-15,0.261,0.557,150227,0.473,3.95e-05,0.0658,0.0262
America,Sister Golden Hair,1975-06-21,0.13,0.441,199573,0.547,0.000143,0.109,0.0337
America,Tin Man,1974-11-23,0.528,0.646,209867,0.531,0.0133,0.0836,0.0671
America,You Can Do Magic,1982-11-13,0.29,0.859,237467,0.568,0.0,0.31,0.0387
"America, George Martin",A Horse with No Name,1972-05-13,0.686,0.654,252240,0.506,0.0155,0.155,0.0535
"America, George Martin",I Need You,1972-07-08,0.583,0.528,183187,0.472,0.0,0.129,0.0267
"America, George Martin",Ventura Highway,1972-12-16,0.223,0.673,211387,0.581,0.000206,0.063,0.029
Amerie,1 Thing,2005-05-07,0.107,0.612,238760,0.961,4.17e-05,0.0413,0.333
Ameritz Karaoke Band,Can’t Stop This Thing We Started (In The Style Of Bryan Adams),1991-11-30,3.12e-05,0.683,248533,0.704,0.923,0.0561,0.0427
Amii Stewart,Knock On Wood,1979-05-05,0.0019,0.689,250520,0.805,8.23e-05,0.0683,0.0429
Amy Grant,"Baby, Baby",1991-05-18,0.426,0.702,236973,0.901,0.00153,0.0368,0.0264
Amy Grant,Every Heartbeat,1991-08-31,0.288,0.648,213733,0.89,0.0,0.119,0.0429
Amy Grant,Good For Me,1992-03-21,0.329,0.594,239493,0.883,8.33e-05,0.276,0.0451
Amy Grant,That's What Love Is For,1991-12-14,0.258,0.544,257293,0.699,0.0,0.144,0.0341
Amy Winehouse,Rehab,2007-07-14,0.0541,0.407,214947,0.558,1.51e-06,0.34,0.0552
Andrew Gold,Lonely Boy,1977-06-25,0.0386,0.588,264893,0.598,5.83e-05,0.107,0.0296
Andrew McMahon in the Wilderness,Nobody Tells You When You’re Young,2012-03-24,0.528,0.365,225677,0.385,3.09e-06,0.112,0.0436
Andy Black,Paint It Black,1966-07-09,0.00844,0.408,252485,0.849,7.91e-05,0.0963,0.0556
Andy Gibb,An Everlasting Love,1978-09-30,0.299,0.665,250360,0.686,0.0,0.145,0.0384
Andy Gibb,I Just Want To Be Your Everything,1977-10-15,0.167,0.651,225667,0.648,1.7e-05,0.192,0.0346
Andy Gibb,Shadow Dancing,1978-08-05,0.15,0.74,276000,0.598,0.0,0.0664,0.0321
Andy Kim,Rock Me Gently,1974-09-28,0.231,0.719,208333,0.703,9e-05,0.129,0.0545
Andy Williams,Can't Get Used to Losing You - Single Version,1963-05-18,0.914,0.413,142000,0.164,1.4e-05,0.0883,0.0378
Andy Williams,It's the Most Wonderful Time of the Year,2021-01-02,0.766,0.24,151933,0.598,0.0,0.117,0.0369
Andy Williams,Lonely Street,1959-11-16,0.915,0.325,165507,0.181,5.96e-05,0.179,0.0296
Andy Williams,The Village of St. Bernadette - 1959 #7 Billboard chart hit,1960-01-25,0.855,0.173,201427,0.266,0.0,0.113,0.03
Animotion,Obsession,1985-05-11,0.00436,0.673,337267,0.613,0.362,0.608,0.0799
Animotion,Room To Move,1989-05-06,0.0256,0.5,276800,0.813,0.000143,0.0607,0.062
Anita Baker,Giving You the Best That I Got (Single Version),1989-01-07,0.765,0.637,233973,0.542,0.0,0.302,0.0357
Anita Baker,Sweet Love,1986-11-01,0.428,0.505,262267,0.669,0.0,0.0609,0.0231
Anita Bryant,Paper Roses,1960-06-27,0.902,0.35,171302,0.124,2.07e-05,0.134,0.0339
"Anita Bryant, Lew Douglas And His Orchestra",In My Little Corner of the World,1960-08-29,0.727,0.532,150280,0.293,2.92e-06,0.143,0.0296
Anita Ward,Ring My Bell,1979-08-18,0.0661,0.781,491933,0.556,0.0907,0.0339,0.0611
"Ann Wilson, Robin Zander","Surrender To Me - From ""Tequila Sunrise"" Soundtrack / Remastered",1989-03-11,0.452,0.37,244733,0.683,8.11e-06,0.167,0.036
Anna Kendrick,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,2013-08-31,0.0462,0.878,128013,0.455,0.00484,0.0353,0.077
Anne Murray,Danny's Song,1973-04-21,0.418,0.512,188293,0.379,1.09e-05,0.0967,0.0299
Anne Murray,Snowbird,1970-10-03,0.256,0.531,134227,0.48,0.000136,0.0908,0.0366
Anne Murray,You Needed Me,1978-11-25,0.431,0.497,220267,0.296,0.0,0.106,0.0302
Anne Murray,You Won't See Me,1974-07-20,0.583,0.676,246400,0.646,0.0,0.0786,0.0333
Annette Funicello,O Dio Mio,1960-03-28,0.192,0.389,171427,0.412,3.11e-06,0.0936,0.0304
Annette Funicello,Tall Paul,1959-02-23,0.676,0.382,97080,0.543,4.94e-05,0.31,0.0442
